bus,department
0,AR.16.2_1
1,AR.16.2_1
2,AR.3.11_1
3,AR.3.11_1
4,AR.5.1_1
5,AR.5.1_1
6,AR.4.1_1
7,AR.4.1_1
8,AR.4.1_1
9,AR.11.9_1
10,AR.11.9_1
11,AR.1.76_1
12,AR.1.76_1
13,AR.1.76_1
14,AR.15.6_1
15,AR.15.6_1
16,AR.20.2_1
17,AR.20.2_1
18,AR.20.2_1
19,AR.21.12_1
20,AR.21.12_1
21,AR.21.12_1
22,AR.1.53_1
23,AR.1.53_1
24,AR.1.53_1
25,AR.1.53_1
26,AR.15.6_1
27,AR.4.5_1
28,AR.4.5_1
29,AR.15.6_1
30,AR.15.6_1
31,AR.6.21_1
32,AR.16.6_1
33,AR.17.7_1
34,AR.17.7_1
35,AR.17.7_1
36,AR.1.60_1
37,AR.1.59_1
38,AR.1.59_1
39,AR.1.59_1
40,AR.21.14_1
41,AR.21.14_1
42,AR.1.106_1
43,AR.1.106_1
44,AR.1.86_1
45,AR.1.86_1
46,AR.1.10_1
47,AR.1.10_1
48,AR.21.10_1
49,AR.21.10_1
50,AR.9.2_1
51,AR.9.2_1
52,AR.2.10_1
53,AR.2.10_1
54,AR.12.2_1
55,AR.12.2_1
56,AR.22.9_1
57,AR.22.9_1
58,AR.13.15_1
59,AR.13.15_1
60,AR.20.3_1
61,AR.20.3_1
62,AR.20.3_1
63,AR.1.10_1
64,AR.1.10_1
65,AR.20.1_1
66,AR.20.1_1
67,AR.6.14_1
68,AR.1.66_1
69,AR.1.32_1
70,AR.22.7_1
71,AR.22.7_1
72,AR.3.4_1
73,AR.3.4_1
74,AR.18.7_1
75,AR.1.92_1
76,AR.6.2_1
77,AR.6.2_1
78,AR.16.6_1
79,AR.11.16_1
80,AR.21.6_1
81,AR.14.4_1
82,AR.14.4_1
83,AR.1.72_1
84,AR.1.72_1
85,AR.13.15_1
86,AR.15.6_1
87,AR.1.73_1
88,AR.1.14_1
89,AR.8.2_1
90,AR.8.2_1
91,AR.1.90_1
92,AR.1.90_1
93,AR.1.90_1
94,AR.1.111_1
95,AR.1.96_1
96,AR.1.96_1
97,AR.1.27_1
98,AR.14.12_1
99,AR.1.120_1
100,AR.1.120_1
101,AR.14.9_1
102,AR.14.9_1
103,AR.13.11_1
104,AR.1.63_1
105,AR.1.63_1
106,AR.8.13_1
107,AR.13.15_1
108,AR.11.3_1
109,AR.14.11_1
110,AR.6.15_1
111,AR.6.15_1
112,AR.1.52_1
113,AR.19.8_1
114,AR.1.69_1
115,AR.14.1_1
116,AR.21.17_1
117,AR.21.17_1
118,AR.21.8_1
119,AR.7.24_1
120,AR.15.6_1
121,AR.14.2_1
122,AR.6.13_1
123,AR.6.4_1
124,AR.6.1_1
125,AR.7.17_1
126,AR.1.55_1
127,AR.1.96_1
128,AR.1.96_1
129,AR.1.96_1
130,AR.14.13_1
131,AR.18.11_1
132,AR.8.15_1
133,AR.8.15_1
134,AR.6.21_1
135,AR.1.128_1
136,AR.1.128_1
137,AR.1.128_1
138,AR.1.128_1
139,AR.6.1_1
140,AR.6.1_1
141,AR.6.1_1
142,AR.6.1_1
143,AR.6.1_1
144,AR.6.17_1
145,AR.6.17_1
146,AR.4.5_1
147,AR.14.8_1
148,AR.6.21_1
149,AR.7.12_1
150,AR.7.12_1
151,AR.7.12_1
152,AR.7.12_1
153,AR.21.12_1
154,AR.21.2_1
155,AR.21.17_1
156,AR.6.23_1
157,AR.6.23_1
158,AR.13.5_1
159,AR.13.5_1
160,AR.24.4_1
161,AR.24.4_1
162,AR.24.4_1
163,AR.18.3_1
164,AR.1.73_1
165,AR.1.68_1
166,AR.17.7_1
167,AR.17.7_1
168,AR.7.15_1
169,AR.7.15_1
170,AR.21.17_1
171,AR.21.17_1
172,AR.20.2_1
173,AR.20.2_1
174,AR.24.1_1
175,AR.1.19_1
176,AR.1.19_1
177,AR.24.15_1
178,AR.1.73_1
179,AR.1.63_1
180,AR.1.63_1
181,AR.14.9_1
182,AR.21.7_1
183,AR.13.9_1
184,AR.1.86_1
185,AR.17.14_1
186,AR.8.1_1
187,AR.1.128_1
188,AR.1.37_1
189,AR.1.37_1
190,AR.1.22_1
191,AR.1.18_1
192,AR.13.10_1
193,AR.13.10_1
194,AR.1.46_1
195,AR.1.61_1
196,AR.1.61_1
197,AR.1.61_1
198,AR.1.46_1
199,AR.1.93_1
200,AR.1.35_1
201,AR.1.115_1
202,AR.1.121_1
203,AR.1.84_1
204,AR.1.13_1
205,AR.8.13_1
206,AR.8.13_1
207,AR.21.9_1
208,AR.21.9_1
209,AR.8.2_1
210,AR.1.10_1
211,AR.1.86_1
212,AR.1.86_1
213,AR.1.127_1
214,AR.1.30_1
215,AR.1.10_1
216,AR.1.31_1
217,AR.1.2_1
218,AR.1.48_1
219,AR.8.12_1
220,AR.20.2_1
221,AR.21.4_1
222,AR.21.4_1
223,AR.20.2_1
224,AR.1.63_1
225,AR.3.20_1
226,AR.9.2_1
227,AR.20.2_1
228,AR.22.9_1
229,AR.1.37_1
230,AR.1.11_1
231,AR.1.52_1
232,AR.20.2_1
233,AR.20.2_1
234,AR.20.2_1
235,AR.1.17_1
236,AR.1.17_1
237,AR.1.17_1
238,AR.19.1_1
239,AR.19.1_1
240,AR.1.92_1
241,AR.1.19_1
242,AR.1.92_1
243,AR.8.16_1
244,AR.21.17_1
245,AR.21.6_1
246,AR.21.12_1
247,AR.3.20_1
248,AR.10.3_1
249,AR.10.3_1
250,AR.6.3_1
251,AR.6.3_1
252,AR.6.24_1
253,AR.6.24_1
254,AR.15.6_1
255,AR.15.6_1
256,AR.15.5_1
257,AR.15.5_1
258,AR.15.5_1
258,AR.16.10_1
259,AR.15.8_1
260,AR.15.8_1
261,AR.20.2_1
262,AR.6.12_1
263,AR.6.12_1
264,AR.1.65_1
265,AR.1.65_1
266,AR.1.121_1
267,AR.17.16_1
268,AR.20.1_1
269,AR.1.85_1
270,AR.7.3_1
271,AR.20.2_1
272,AR.4.13_1
273,AR.4.13_1
274,AR.4.13_1
275,AR.1.63_1
276,AR.1.62_1
277,AR.1.38_1
