bus,region
0,COM
1,COM
2,NEA
3,NEA
4,GBA
5,GBA
6,PAT
7,PAT
8,PAT
9,COM
10,COM
11,BAS
12,BAS
13,BAS
14,COM
15,COM
16,PAT
17,PAT
18,PAT
19,LIT
20,LIT
21,LIT
22,BAS
23,BAS
24,BAS
25,BAS
26,COM
27,PAT
28,PAT
29,COM
30,COM
31,CEN
32,COM
33,NOA
34,NOA
35,NOA
36,BAS
37,BAS
38,BAS
39,BAS
40,LIT
41,LIT
42,BAS
43,BAS
44,BAS
45,BAS
46,BAS
47,BAS
48,LIT
49,LIT
50,NEA
51,NEA
52,NOA
53,NOA
54,NOA
55,NOA
56,NOA
57,NOA
58,CUY
59,CUY
60,PAT
61,PAT
62,PAT
63,BAS
64,BAS
65,PAT
66,PAT
67,CEN
68,BAS
69,BAS
70,NOA
71,NOA
72,NEA
73,NEA
74,CUY
75,BAS
76,CEN
77,CEN
78,COM
79,COM
80,LIT
81,NEA
82,NEA
83,BAS
84,BAS
85,CUY
86,COM
87,BAS
88,GBA
89,LIT
90,LIT
91,BAS
92,BAS
93,BAS
94,BAS
95,BAS
96,BAS
97,BAS
98,NEA
99,BAS
100,BAS
101,NEA
102,NEA
103,CUY
104,BAS
105,BAS
106,LIT
107,CUY
108,COM
109,NEA
110,CEN
111,CEN
112,BAS
113,CEN
114,BAS
115,NEA
116,LIT
117,LIT
118,LIT
119,NEA
120,COM
121,NEA
122,CEN
123,CEN
124,CEN
125,NEA
126,GBA
127,BAS
128,BAS
129,BAS
130,NEA
131,CUY
132,LIT
133,LIT
134,CEN
135,BAS
136,BAS
137,BAS
138,BAS
139,CEN
140,CEN
141,CEN
142,CEN
143,CEN
144,CEN
145,CEN
146,PAT
147,NEA
148,CEN
149,NEA
150,NEA
151,NEA
152,NEA
153,LIT
154,LIT
155,LIT
156,CEN
157,CEN
158,CUY
159,CUY
160,NOA
161,NOA
162,NOA
163,CUY
164,BAS
165,BAS
166,NOA
167,NOA
168,NEA
169,NEA
170,LIT
171,LIT
172,PAT
173,PAT
174,NOA
175,BAS
176,BAS
177,NOA
178,BAS
179,BAS
180,BAS
181,NEA
182,LIT
183,CUY
184,BAS
185,NOA
186,LIT
187,BAS
188,BAS
189,BAS
190,BAS
191,BAS
192,CUY
193,CUY
194,BAS
195,BAS
196,BAS
197,BAS
198,BAS
199,BAS
200,BAS
201,BAS
202,BAS
203,BAS
204,BAS
205,LIT
206,LIT
207,LIT
208,LIT
209,LIT
210,BAS
211,BAS
212,BAS
213,BAS
214,BAS
215,BAS
216,BAS
217,BAS
218,BAS
219,LIT
220,PAT
221,LIT
222,LIT
223,PAT
224,BAS
225,NEA
226,NEA
227,PAT
228,NOA
229,BAS
230,BAS
231,BAS
232,PAT
233,PAT
234,PAT
235,BAS
236,BAS
237,BAS
238,CEN
239,CEN
240,BAS
241,BAS
242,BAS
243,LIT
244,LIT
245,LIT
246,LIT
247,NEA
248,NOA
249,NOA
250,CEN
251,CEN
252,CEN
253,CEN
254,COM
255,COM
256,COM
257,COM
258,COM
