technology,year,parameter,value,unit,source,further description,currency_year
battery inverter,2030,investment,170.144,EUR/kW,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Output capacity expansion cost investment,2020
battery inverter,2030,lifetime,10,years,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx, Note K.",:  Technical lifetime,2020
battery inverter,2030,efficiency,0.96,per unit,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Round trip efficiency DC,2020
battery inverter,2030,FOM,0.3375,%/year,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Fixed O&M,2020
battery storage,2030,investment,151.0028,EUR/kWh,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Energy storage expansion cost investment,2020
battery storage,2030,lifetime,25,years,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Technical lifetime,2020
biomass,2030,FOM,4.5269,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,from old pypsa cost assumptions,2020
biomass,2030,efficiency,0.468,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,from old pypsa cost assumptions,2020
biomass,2030,fuel,7.4076,EUR/MWh,IEA2011b,from old pypsa cost assumptions,2020
biomass,2030,investment,2337.6116,EUR/kW,DIW DataDoc http://hdl.handle.net/10419/80348,from old pypsa cost assumptions,2020
biomass,2030,lifetime,30,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348,from old pypsa cost assumptions,2020
biomass,2030,VOM,0.004,EUR/kWh,IRENA 2024,,2020
CCGT,2030,lifetime,30,years,IEA2010,,2020
CCGT,2030,investment,1000,EUR/kW,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Nominal investment",2020
CCGT,2030,FOM,3.3494,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Fixed O&M",2020
CCGT,2030,VOM,30,EUR/MWh,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Variable O&M",2020
CCGT,2030,efficiency,0.55,per unit,ETSAP by IEA,,2020
central air-sourced heat pump,2030,investment,700,EUR/kWth,Palzer thesis,,2020
central air-sourced heat pump,2030,lifetime,20,years,Palzer thesis,,2020
central air-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2020
central air-sourced heat pump,2030,efficiency,3,per unit,default for costs,,2020
central CHP,2030,lifetime,25,years,HP,,2020
central CHP,2030,investment,650,EUR/kWel,HP,,2020
central CHP,2030,FOM,3,%/year,HP,,2020
central gas boiler,2030,investment,63,EUR/kWhth,Palzer thesis,,2020
central gas boiler,2030,lifetime,22,years,Palzer thesis,,2020
central gas boiler,2030,FOM,1,%/year,Palzer thesis,,2020
central gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,2020
central resistive heater,2030,investment,100,EUR/kWhth,Schaber thesis,,2020
central resistive heater,2030,lifetime,20,years,Schaber thesis,,2020
central resistive heater,2030,FOM,2,%/year,Schaber thesis,,2020
central resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,2020
central solar thermal,2030,FOM,1.4,%/year,HP,,2020
central solar thermal,2030,investment,140000,EUR/1000m2,HP,,2020
central solar thermal,2030,lifetime,20,years,HP,,2020
central water tank storage,2030,investment,30,EUR/m3,IWES Interaktion,,2020
central water tank storage,2030,FOM,1,%/year,HP,,2020
central water tank storage,2030,lifetime,40,years,HP,,2020
coal,2030,lifetime,40,years,IEA2010,,2020
coal,2030,investment,1300,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2020
coal,2030,FOM,1.923076,%/year,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2020
coal,2030,VOM,6,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2020
coal,2030,fuel,8.4,EUR/MWhth,IEA2011b,,2020
coal,2030,efficiency,0.464,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2020
coal,2030,CO2 intensity,0.354,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,2020
csp-tower,2030,FOM,1.1,%/year,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,2020
csp-tower,2030,investment,108.37,"EUR/kW_th,dp",ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2020
csp-tower,2030,lifetime,30,years,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,2020
csp-tower power block,2030,FOM,1.1,%/year,see solar-tower.,,2020
csp-tower power block,2030,investment,759.17,EUR/kW_e,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2020
csp-tower power block,2030,lifetime,30,years,see solar-tower.,,2020
csp-tower TES,2030,FOM,1.1,%/year,see solar-tower.,,2020
csp-tower TES,2030,investment,14.52,EUR/kWh_th,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2020
csp-tower TES,2030,lifetime,30,years,see solar-tower.,,2020
DAC,2030,investment,250,EUR/(tCO2/a),Fasihi/Climeworks,,2020
DAC,2030,lifetime,30,years,Fasihi,,2020
DAC,2030,FOM,4,%/year,Fasihi,,2020
decentral air-sourced heat pump,2030,investment,1050,EUR/kWth,HP,Palzer thesis,2020
decentral air-sourced heat pump,2030,lifetime,20,years,HP,Palzer thesis,2020
decentral air-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2020
decentral air-sourced heat pump,2030,efficiency,3,per unit,default for costs,,2020
decentral air-sourced heat pump,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral CHP,2030,lifetime,25,years,HP,,2020
decentral CHP,2030,investment,1400,EUR/kWel,HP,,2020
decentral CHP,2030,FOM,3,%/year,HP,,2020
decentral CHP,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral gas boiler,2030,investment,175,EUR/kWhth,Palzer thesis,,2020
decentral gas boiler,2030,lifetime,20,years,Palzer thesis,,2020
decentral gas boiler,2030,FOM,2,%/year,Palzer thesis,,2020
decentral gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,2020
decentral gas boiler,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral ground-sourced heat pump,2030,investment,1400,EUR/kWth,Palzer thesis,,2020
decentral ground-sourced heat pump,2030,lifetime,20,years,Palzer thesis,,2020
decentral ground-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2020
decentral ground-sourced heat pump,2030,efficiency,4,per unit,default for costs,,2020
decentral ground-sourced heat pump,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral resistive heater,2030,investment,100,EUR/kWhth,Schaber thesis,,2020
decentral resistive heater,2030,lifetime,20,years,Schaber thesis,,2020
decentral resistive heater,2030,FOM,2,%/year,Schaber thesis,,2020
decentral resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,2020
decentral resistive heater,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral solar thermal,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral solar thermal,2030,FOM,1.3,%/year,HP,,2020
decentral solar thermal,2030,investment,270000,EUR/1000m2,HP,,2020
decentral solar thermal,2030,lifetime,20,years,HP,,2020
decentral water tank storage,2030,investment,860,EUR/m3,IWES Interaktion,,2020
decentral water tank storage,2030,FOM,1,%/year,HP,,2020
decentral water tank storage,2030,lifetime,20,years,HP,,2020
decentral water tank storage,2030,discount rate,0.04,per unit,Palzer thesis,,2020
