id,Name,Fueltype,Technology,Country,Capacity,lat,lon,Efficiency,Duration,DateIn,DateOut,Set
ABRO,C.T. ALMIRANTE BROWN,OCGT,OCGT,AR,25,-34.8378,-58.4058,0.4,,,,PP
ACAJ,C.T. AGUA DEL CAJON,CCGT,CCGT,AR,184,-38.9355,-68.3573,0.55,,,,PP
ACHIEO,P.EOLICO ACHIRAS,onwind,Onshore,AR,48,-33.2142,-65.0907,,,,,PP
ADTOHI,H. DIAMANTE SA,hydro,Run-Of-River,AR,150,-34.5839,-69.0362,0.9,,,,PP
AESP,C.T. AES PARANA,CCGT,CCGT,AR,869,-33.3584,-60.1748,0.55,,,,PP
ALICHI,AES ALICURA.,hydro,Reservoir,AR,1050,-40.5841,-70.7476,0.9,,,,PP
ALT1FV,PQUE SOLAR ALTIPLANO I,solar,Pv,AR,100,-24.139,-66.8957,,,,,PP
ALU1EO,P.EOLICO ALUAR I MATER,onwind,Onshore,AR,68,-42.6506,-65.3276,,,,,PP
ALUAEO,ALUAR SA AUTOGENERADOR REN.,onwind,Onshore,AR,175,-42.6506,-65.3276,,,,,PP
ALUAR,ALUAR SA - GENERADOR,OCGT,OCGT,AR,189,-42.7385,-65.0543,0.4,,,,PP
AMEGHI,HIDROELECTRICA AMEGHINO SA,hydro,Run-Of-River,AR,47,-43.6996,-66.4815,0.9,,,,PP
AR21EO,P.EOLICO V ARAUCO II RENOV 1,onwind,Onshore,AR,100,-28.7004,-66.7322,,,,,PP
AR22EO,P.EOLICO ARAUCO II R1.5 ET3y4,onwind,Onshore,AR,36,-28.7004,-66.7322,,,,,PP
ARA2EO,PARQUE EOLICO ARAUCO II SAPEM,onwind,Onshore,AR,25,-28.7004,-66.7322,,,,,PP
ARAUEO,PARQUE EOLICO ARAUCO SAPEM,onwind,Onshore,AR,25,-28.7004,-66.7322,,,,,PP
ARGE,SIDERCA SA(EX ARGENER-GEN.PAR),OCGT,OCGT,AR,163,-34.1613,-58.9791,0.4,,,,PP
ARROHI,HIDROELECTRICA EL CHOCON SA,hydro,Reservoir,AR,128,-39.1067,-68.5857,0.9,,,,PP
ASEC,ARROYO SECO COGENERACION GMED.,CCGT,CCGT,AR,105,-33.1256,-60.5239,0.55,,,,PP
ATU2,NUCLEOELECTRICA ARG. SA,nuclear,Steam Turbine,AR,745,-33.967105,-59.2084,0.4,,,,PP
ATUC,NUCLEOELECTRICA ARG. SA,nuclear,Steam Turbine,AR,362,-33.967105,-59.2084,0.4,,,,PP
AVAL,C.TERMICA ALTO VALLE,CCGT,CCGT,AR,50,-38.9517,-68.0219,0.55,,,,PP
