ID,Name,Capacity,bus
ABRO,C.T. ALMIRANTE BROWN,25,AR.GBA
ACAJ,C.T. AGUA DEL CAJON,184,AR.COM
ACHIEO,P.EOLICO ACHIRAS,48,AR.CEN
ADTOHI,H. DIAMANTE SA,150,AR.CUY
AESP,C.T. AES PARANA,869,AR.BAS
ALICHI,AES ALICURA.,1050,AR.COM
ALT1FV,PQUE SOLAR ALTIPLANO I,100,AR.NOA
ALU1EO,P.EOLICO ALUAR I MATER,68,AR.PAT
ALUAEO,ALUAR SA AUTOGENERADOR REN.,175,AR.PAT
ALUAR,ALUAR SA - GENERADOR,189,AR.PAT
AMEGHI,HIDROELECTRICA AMEGHINO SA,47,AR.PAT
AR21EO,P.EOLICO V ARAUCO II RENOV 1,100,AR.NOA
AR22EO,P.EOLICO ARAUCO II R1.5 ET3y4,36,AR.NOA
ARA2EO,PARQUE EOLICO ARAUCO II SAPEM,25,AR.NOA
ARAUEO,PARQUE EOLICO ARAUCO SAPEM,25,AR.NOA
ARGE,SIDERCA SA(EX ARGENER-GEN.PAR),163,AR.BAS
ARROHI,HIDROELECTRICA EL CHOCON SA,128,AR.COM
ASEC,ARROYO SECO COGENERACION GMED.,105,AR.LIT
ATU2,NUCLEOELECTRICA ARG. SA,745,AR.BAS
ATUC,NUCLEOELECTRICA ARG. SA,362,AR.BAS
AVAL,C.TERMICA ALTO VALLE,50,AR.COM
BAHIEO,P.EOLICO PAMPA ENERGIA,50,AR.BAS
BAND,CT BANDERA SgoEstero - ENARSA,33,AR.NOA
BANDEO,P.EOLICO LA BANDERITA,40,AR.COM
BARD,CT BARRANQUERAS Chaco,22,AR.NEA
BBLA,CENTRAL PIEDRABUENA S.A.,620,AR.BAS
BIC2EO,P.EOLICO BICENTENARIO 2,25,AR.PAT
BICEEO,P.EOLICO BICENTENARIO 1,101,AR.PAT
BLOP,CT BRIGADIER LOPEZ,280,AR.LIT
BRA2,CT BRAGADO 2 - GENNEIA,62,AR.BAS
BRA3,CT BRAGADO 3 - GENNEIA,61,AR.BAS
BRCH,CT BRACHO - Y-GEN ELECTRICA II,473,AR.NOA
BRKE,CT BARKER,254,AR.BAS
BROW,TERMOELECTRICA GUILLERMO BROWN,582,AR.BAS
BSAS,ENDESA COSTANERA SA,277,AR.GBA
BVENEO,P.EOLICO DE LA BUENA VENTURA,103,AR.BAS
CACHHI,CONSORCIO POTRERILLOS,120,AR.CUY
CAFAFV,PARQUE FOTOV. CAFAYATE,80,AR.NOA
CALEFV,AG CEMENTOS AVELLANEDA S. Luis,22,AR.CEN
CALOFV,C.FOTOV.CALDENES DEL OESTE,25,AR.CEN
CAPE,CAPEX S.A. AUTOGENERADOR,477,AR.COM
CAU1FV,PQUE SOLAR FTV CAUCHARI 1,100,AR.NOA
CAU2FV,PQUE SOLAR FTV CAUCHARI 2,100,AR.NOA
CAU3FV,PQUE SOLAR FTV CAUCHARI 3,100,AR.NOA
CCOLHI,C.H.LOS CARACOLES - EPSE,121,AR.CUY
CCORHI,AES JURAMENTO,101,AR.NOA
CHN2EO,GENNEIA S.A.EOLICOS,26,AR.PAT
CHN3EO,P.EOLICO CHUBUT NOR 3 GENNEIA,58,AR.PAT
CHN4EO,P.EOLICO CHUBUT NOR 4 GENNEIA,83,AR.PAT
CHNOEO,P.EOLICO CHUBUT NOR 1 GENNEIA,29,AR.PAT
CHOCHI,HIDROELECTRICA EL CHOCON SA,1290,AR.COM
CONDHI,CONSORCIO POTRERILLOS,54,AR.CUY
CORTEO,P.EOLICO Ing.CEBREIRO exCORTI,100,AR.BAS
COSM,MOTOGENERADORES COSTANERA,36,AR.GBA
COST,ENDESA COSTANERA SA,1511,AR.GBA
CPIEHI,CENTRAL CASA DE PIEDRA,60,AR.COM
CRIV,C.T. PATAGONICAS SA,25,AR.PAT
CUMBFV,PQUE FOTOVOLTAICO LA CUMBRE,22,AR.CEN
DIA2EO,P.EOLICO DIADEMA 2,28,AR.PAT
DSUD,CENTRAL DOCK SUD,933,AR.GBA
EBAR,CT BARRAGAN - ENARSA,848,AR.BAS
ELBIEO,P.E. LA ELBITA,162,AR.BAS
ELEP,ELECTROPATAGONIA-C.RIV-C.COMB.,63,AR.PAT
EMBA,NUCLEOELECTRICA ARG. SA,648,AR.CEN
ENE1EO,P.EOLICO LA ENERGETICA Renov2,80,AR.BAS
ESCAHI,HIDROELECTRICA TUCUMAN SA,24,AR.NOA
EZEI,CT EZEIZA ETAPA2 G MEDITERRANE,291,AR.GBA
FILO,C.T. FILO MORADO,63,AR.COM
FRIA,GENERACION FRIAS S.A.,60,AR.NOA
FUTAHI,HIDROELECTRICA FUTALEUFU SA,560,AR.PAT
GARAEO,P.EOLICO GARAYALDE,24,AR.PAT
GARR,CT BIOMASA GARRUCHOS,36,AR.NEA
GBEL,TERMOELECTRICA M.BELGRANO S.A.,874,AR.BAS
GEBA,GENELBA - PETROBRAS,1249,AR.BAS
GNV1EO,P.EOLICO LA GENOVEVA I REN2,88,AR.BAS
GNV2EO,P.EOLICO LA GENOVEVA II MATER,42,AR.BAS
GUEM,PAMPA ENERGIA SA,361,AR.NOA
GZ2AFV,PQUE FOTOV. COR. SOL. GUAÑI.II,100,AR.CUY
IGLEFV,PQUE FOTOV. CORDILLERA SOLAR,80,AR.CUY
IND1,CT INDEPEND. ETAPA1 G MEDITERR,50,AR.NOA
IND2,CT INDEPEND. ETAPA2 G MEDITERR,49,AR.NOA
INDE,GENERACION INDEPENDENCIA S.A.,120,AR.NOA
ISVE,CT ISLA VERDE - AGGREKO,25,AR.CEN
JUNI,CT JUNIN,22,AR.BAS
KOSTEO,P.EOLICO KOSTEN,24,AR.PAT
