region_code;time;region_name;Electricity demand
AR.GBA;2013-01-01 00:00:00;GBA;4854.6054
AR.GBA;2013-01-01 01:00:00;GBA;4722.705
AR.GBA;2013-01-01 02:00:00;GBA;4932.8514
AR.GBA;2013-01-01 03:00:00;GBA;4834.485
AR.GBA;2013-01-01 04:00:00;GBA;4724.9406
AR.GBA;2013-01-01 05:00:00;GBA;4568.4486
AR.GBA;2013-01-01 06:00:00;GBA;4300.1766
AR.GBA;2013-01-01 07:00:00;GBA;4286.763
AR.GBA;2013-01-01 08:00:00;GBA;4373.9514
AR.GBA;2013-01-01 09:00:00;GBA;4477.9068
AR.GBA;2013-01-01 10:00:00;GBA;4599.747
AR.GBA;2013-01-01 11:00:00;GBA;4770.7704
AR.GBA;2013-01-01 12:00:00;GBA;4833.3672
AR.GBA;2013-01-01 13:00:00;GBA;4805.4222
AR.GBA;2013-01-01 14:00:00;GBA;4651.1658
AR.GBA;2013-01-01 15:00:00;GBA;4496.9094
AR.GBA;2013-01-01 16:00:00;GBA;4451.0796
AR.GBA;2013-01-01 17:00:00;GBA;4484.6136
AR.GBA;2013-01-01 18:00:00;GBA;4584.0978
AR.GBA;2013-01-01 19:00:00;GBA;4732.7652
AR.GBA;2013-01-01 20:00:00;GBA;5118.4062
AR.GBA;2013-01-01 21:00:00;GBA;5352.0264
AR.GBA;2013-01-01 22:00:00;GBA;5236.893
AR.GBA;2013-01-01 23:00:00;GBA;4957.443
AR.GBA;2013-01-02 00:00:00;GBA;4654.5192
AR.GBA;2013-01-02 01:00:00;GBA;4372.8336
AR.GBA;2013-01-02 02:00:00;GBA;4148.1558
AR.GBA;2013-01-02 03:00:00;GBA;3977.1324
AR.GBA;2013-01-02 04:00:00;GBA;3925.7136
AR.GBA;2013-01-02 05:00:00;GBA;3968.19
AR.GBA;2013-01-02 06:00:00;GBA;4078.8522
AR.GBA;2013-01-02 07:00:00;GBA;4435.4304
AR.GBA;2013-01-02 08:00:00;GBA;4863.5478
AR.GBA;2013-01-02 09:00:00;GBA;5292.783
AR.GBA;2013-01-02 10:00:00;GBA;5574.4686
AR.GBA;2013-01-02 11:00:00;GBA;5802.4998
AR.GBA;2013-01-02 12:00:00;GBA;6002.586
AR.GBA;2013-01-02 13:00:00;GBA;6183.6696
AR.GBA;2013-01-02 14:00:00;GBA;6312.2166
AR.GBA;2013-01-02 15:00:00;GBA;6390.4626
AR.GBA;2013-01-02 16:00:00;GBA;6415.0542
AR.GBA;2013-01-02 17:00:00;GBA;6362.5176
AR.GBA;2013-01-02 18:00:00;GBA;6237.324
